id,text,label,prompt,model,date,word_count,readability
1,AI-generated content sample 1: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-11-25,24.0,37.950000000000045
2,AI-generated content sample 2: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-11-15,26.0,50.29115384615386
3,Human-written text sample 3: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-08-11,28.0,33.38642857142861
4,AI-generated content sample 4: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-04-27,23.0,47.39434782608697
5,Human-written text sample 5: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-15,25.0,46.10000000000002
6,Human-written text sample 6: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-06,25.0,49.48400000000001
7,Human-written text sample 7: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-01-19,25.0,46.10000000000002
8,Human-written text sample 8: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-11-01,25.0,52.86800000000002
9,AI-generated content sample 9: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-09-09,24.0,37.950000000000045
10,Human-written text sample 10: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-09-13,25.0,46.10000000000002
11,Human-written text sample 11: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-14,25.0,49.48400000000001
12,Human-written text sample 12: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-05,25.0,46.10000000000002
13,AI-generated content sample 13: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-12-24,26.0,50.29115384615386
14,AI-generated content sample 14: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-05-04,24.0,41.47500000000002
15,Human-written text sample 15: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-13,25.0,49.48400000000001
16,AI-generated content sample 16: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-05-16,26.0,47.037307692307735
17,AI-generated content sample 17: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2023-11-13,24.0,45.00000000000003
18,Human-written text sample 18: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-11-05,25.0,52.86800000000002
19,Human-written text sample 19: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-23,25.0,52.86800000000002
20,AI-generated content sample 20: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-08-05,26.0,47.037307692307735
21,AI-generated content sample 21: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-06-24,23.0,47.39434782608697
22,Human-written text sample 22: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-06-12,25.0,49.48400000000001
23,AI-generated content sample 23: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-05-28,26.0,47.037307692307735
24,AI-generated content sample 24: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-07-04,23.0,47.39434782608697
25,Human-written text sample 25: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-02-02,25.0,49.48400000000001
26,Human-written text sample 26: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-31,25.0,46.10000000000002
27,Human-written text sample 27: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-10-12,25.0,46.10000000000002
28,Human-written text sample 28: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-27,25.0,49.48400000000001
29,Human-written text sample 29: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-11-06,25.0,52.86800000000002
30,AI-generated content sample 30: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-12-20,23.0,47.39434782608697
31,AI-generated content sample 31: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-10-20,24.0,37.950000000000045
32,AI-generated content sample 32: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-09-01,26.0,50.29115384615386
33,Human-written text sample 33: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-10,25.0,52.86800000000002
34,Human-written text sample 34: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-08-22,25.0,52.86800000000002
